"FTYPE","Description","MS_length_mi","MSEP_length_mi"
"ArtificialPath","Artificial Path",3330.99697188735,1145.9288580703
"CanalDitch","Canal/Ditch",2414.84472773027,145.135539351059
"Coastline","Coastline",226.11173125964,226.111731259646
"Connector","Connector",67.8927875788251,20.6836473463176
"StreamRiver","Stream/River",36.1948477451334,4.19043816124278
"StreamRiver","Stream/River: Intermittent",53187.2781755985,19137.0375948295
"StreamRiver","Stream/River: Perennial",23555.4776872836,10398.7460215074
